,bid,element1,name1,percent1,element2,name2,percent2,element3,name3,percent3
94,95,609,High salt marsh community,0.44,608.0,Low salt marsh community,0.35000000000000003,606.0,Tidal creek community,0.11
95,96,609,High salt marsh community,0.64,604.0,Marine rocky intertidal community,0.2,615.0,Salt shrub community,0.17
96,97,728,Appalachian oak-hickory forest community,0.28,721.0,Maritime bluffs community,0.25,609.0,High salt marsh community,0.23
97,98,609,High salt marsh community,0.45,728.0,Appalachian oak-hickory forest community,0.19,615.0,Salt shrub community,0.16
98,99,728,Appalachian oak-hickory forest community,0.8,645.0,Oak-tulip tree forest community,0.2,,,0.0
99,100,728,Appalachian oak-hickory forest community,0.34,600.0,Marine deepwater community,0.25,615.0,Salt shrub community,0.08
100,101,728,Appalachian oak-hickory forest community,0.98,645.0,Oak-tulip tree forest community,0.05,,,0.0
101,102,728,Appalachian oak-hickory forest community,0.91,645.0,Oak-tulip tree forest community,0.09,,,0.0
102,103,728,Appalachian oak-hickory forest community,0.99,,,0.0,,,0.0
103,104,728,Appalachian oak-hickory forest community,1.02,,,0.0,,,0.0
104,105,728,Appalachian oak-hickory forest community,1.0,,,0.0,,,0.0
105,106,728,Appalachian oak-hickory forest community,0.99,,,0.0,,,0.0
106,107,728,Appalachian oak-hickory forest community,0.75,615.0,Salt shrub community,0.22,632.0,Maritime beach community,0.04
107,108,600,Marine deepwater community,0.52,603.0,Marine gravel/sand beach community,0.30000000000000004,632.0,Maritime beach community,0.15
108,109,728,Appalachian oak-hickory forest community,0.96,615.0,Salt shrub community,0.04,,,0.0
109,110,728,Appalachian oak-hickory forest community,0.75,645.0,Oak-tulip tree forest community,0.26,,,0.0
110,111,728,Appalachian oak-hickory forest community,0.65,645.0,Oak-tulip tree forest community,0.34,,,0.0
111,112,728,Appalachian oak-hickory forest community,0.87,645.0,Oak-tulip tree forest community,0.13,,,0.0
112,113,728,Appalachian oak-hickory forest community,0.54,645.0,Oak-tulip tree forest community,0.46,,,0.0
113,114,728,Appalachian oak-hickory forest community,0.91,645.0,Oak-tulip tree forest community,0.09,,,0.0
114,115,728,Appalachian oak-hickory forest community,0.46,645.0,Oak-tulip tree forest community,0.22,615.0,Salt shrub community,0.19
115,116,609,High salt marsh community,0.74,728.0,Appalachian oak-hickory forest community,0.1,615.0,Salt shrub community,0.09
116,117,600,Marine deepwater community,1.02,,,0.0,,,0.0
117,118,728,Appalachian oak-hickory forest community,0.44,609.0,High salt marsh community,0.35000000000000003,615.0,Salt shrub community,0.17
118,119,609,High salt marsh community,0.63,606.0,Tidal creek community,0.37,,,0.0
119,120,645,Oak-tulip tree forest community,0.58,728.0,Appalachian oak-hickory forest community,0.31,740.0,Successional blueberry heath community,0.06
120,121,728,Appalachian oak-hickory forest community,0.37,609.0,High salt marsh community,0.36,740.0,Successional blueberry heath community,0.1
121,122,728,Appalachian oak-hickory forest community,0.39,609.0,High salt marsh community,0.29,721.0,Maritime bluffs community,0.16
122,123,728,Appalachian oak-hickory forest community,0.56,609.0,High salt marsh community,0.26,647.0,Hemlock-northern hardwood forest community,0.11
123,124,728,Appalachian oak-hickory forest community,0.99,645.0,Oak-tulip tree forest community,0.02,,,0.0
124,125,728,Appalachian oak-hickory forest community,1.0,,,0.0,,,0.0
125,126,728,Appalachian oak-hickory forest community,1.01,,,0.0,,,0.0
126,127,728,Appalachian oak-hickory forest community,0.99,,,0.0,,,0.0
127,128,728,Appalachian oak-hickory forest community,0.99,645.0,Oak-tulip tree forest community,0.01,,,0.0
128,129,728,Appalachian oak-hickory forest community,0.75,645.0,Oak-tulip tree forest community,0.26,,,0.0
129,130,728,Appalachian oak-hickory forest community,0.34,645.0,Oak-tulip tree forest community,0.32,740.0,Successional blueberry heath community,0.23
130,131,625,Shrub swamp community,0.22,624.0,Shallow emergent marsh community,0.2,647.0,Hemlock-northern hardwood forest community,0.16
131,132,728,Appalachian oak-hickory forest community,0.5,645.0,Oak-tulip tree forest community,0.25,648.0,Successional old field community,0.17
132,133,645,Oak-tulip tree forest community,0.52,647.0,Hemlock-northern hardwood forest community,0.12,728.0,Appalachian oak-hickory forest community,0.1
133,134,728,Appalachian oak-hickory forest community,0.52,645.0,Oak-tulip tree forest community,0.4,730.0,Successional fern meadow community,0.07
134,135,625,Shrub swamp community,0.26,615.0,Salt shrub community,0.22,624.0,Shallow emergent marsh community,0.12
135,136,728,Appalachian oak-hickory forest community,0.53,645.0,Oak-tulip tree forest community,0.2,647.0,Hemlock-northern hardwood forest community,0.11
136,137,728,Appalachian oak-hickory forest community,0.59,645.0,Oak-tulip tree forest community,0.4,647.0,Hemlock-northern hardwood forest community,0.01
137,138,645,Oak-tulip tree forest community,0.58,728.0,Appalachian oak-hickory forest community,0.41000000000000003,,,0.0
138,139,728,Appalachian oak-hickory forest community,0.8,645.0,Oak-tulip tree forest community,0.19,647.0,Hemlock-northern hardwood forest community,0.01
139,140,728,Appalachian oak-hickory forest community,0.42,645.0,Oak-tulip tree forest community,0.23,625.0,Shrub swamp community,0.14
140,141,600,Marine deepwater community,0.44,625.0,Shrub swamp community,0.38,609.0,High salt marsh community,0.04
141,142,600,Marine deepwater community,0.41000000000000003,625.0,Shrub swamp community,0.19,609.0,High salt marsh community,0.13
142,143,625,Shrub swamp community,0.62,600.0,Marine deepwater community,0.21,740.0,Successional blueberry heath community,0.04
143,144,625,Shrub swamp community,0.34,600.0,Marine deepwater community,0.24,609.0,High salt marsh community,0.23
144,145,728,Appalachian oak-hickory forest community,0.63,740.0,Successional blueberry heath community,0.12,645.0,Oak-tulip tree forest community,0.11
145,146,728,Appalachian oak-hickory forest community,0.92,645.0,Oak-tulip tree forest community,0.07,,,0.0
146,147,728,Appalachian oak-hickory forest community,0.46,645.0,Oak-tulip tree forest community,0.35000000000000003,647.0,Hemlock-northern hardwood forest community,0.09
147,148,728,Appalachian oak-hickory forest community,1.0,,,0.0,,,0.0
148,149,728,Appalachian oak-hickory forest community,1.0,,,0.0,,,0.0
149,150,728,Appalachian oak-hickory forest community,0.99,,,0.0,,,0.0
150,151,728,Appalachian oak-hickory forest community,0.77,609.0,High salt marsh community,0.12,615.0,Salt shrub community,0.07
151,152,728,Appalachian oak-hickory forest community,0.38,645.0,Oak-tulip tree forest community,0.23,609.0,High salt marsh community,0.23
152,153,609,High salt marsh community,0.35000000000000003,606.0,Tidal creek community,0.31,645.0,Oak-tulip tree forest community,0.23
153,154,609,High salt marsh community,0.64,606.0,Tidal creek community,0.16,615.0,Salt shrub community,0.1
154,155,728,Appalachian oak-hickory forest community,1.0,,,0.0,,,0.0
155,156,728,Appalachian oak-hickory forest community,0.67,633.0,Maritime dunes community,0.30000000000000004,645.0,Oak-tulip tree forest community,0.01
156,157,600,Marine deepwater community,0.4,603.0,Marine gravel/sand beach community,0.19,622.0,Eutrophic pond community,0.15
157,158,728,Appalachian oak-hickory forest community,0.85,633.0,Maritime dunes community,0.16,,,0.0
158,159,633,Maritime dunes community,0.43,728.0,Appalachian oak-hickory forest community,0.24,622.0,Eutrophic pond community,0.24
159,160,728,Appalachian oak-hickory forest community,0.8,609.0,High salt marsh community,0.11,615.0,Salt shrub community,0.09
160,161,728,Appalachian oak-hickory forest community,0.98,645.0,Oak-tulip tree forest community,0.01,740.0,Successional blueberry heath community,0.01
161,162,728,Appalachian oak-hickory forest community,0.54,609.0,High salt marsh community,0.34,615.0,Salt shrub community,0.11
162,163,609,High salt marsh community,0.64,606.0,Tidal creek community,0.12,728.0,Appalachian oak-hickory forest community,0.1
163,164,728,Appalachian oak-hickory forest community,0.91,645.0,Oak-tulip tree forest community,0.08,,,0.0
164,165,609,High salt marsh community,0.4,728.0,Appalachian oak-hickory forest community,0.16,647.0,Hemlock-northern hardwood forest community,0.11
165,166,609,High salt marsh community,0.5,645.0,Oak-tulip tree forest community,0.21,615.0,Salt shrub community,0.16
166,167,609,High salt marsh community,0.74,606.0,Tidal creek community,0.26,615.0,Salt shrub community,0.02
167,168,609,High salt marsh community,0.87,606.0,Tidal creek community,0.14,,,0.0
168,169,721,Maritime bluffs community,0.33,609.0,High salt marsh community,0.32,606.0,Tidal creek community,0.17
169,170,728,Appalachian oak-hickory forest community,0.9,647.0,Hemlock-northern hardwood forest community,0.07,721.0,Maritime bluffs community,0.03
170,171,728,Appalachian oak-hickory forest community,0.96,654.0,Lenape living area community,0.04,,,0.0
171,172,728,Appalachian oak-hickory forest community,1.01,,,0.0,,,0.0
172,173,645,Oak-tulip tree forest community,0.58,728.0,Appalachian oak-hickory forest community,0.42,,,0.0
173,174,645,Oak-tulip tree forest community,0.91,729.0,Appalachian oak-pine [white pine-oak] forest community,0.07,,,0.0
174,175,645,Oak-tulip tree forest community,0.79,728.0,Appalachian oak-hickory forest community,0.16,729.0,Appalachian oak-pine [white pine-oak] forest community,0.05
175,176,645,Oak-tulip tree forest community,0.6000000000000001,728.0,Appalachian oak-hickory forest community,0.36,729.0,Appalachian oak-pine [white pine-oak] forest community,0.04
176,177,728,Appalachian oak-hickory forest community,0.47000000000000003,645.0,Oak-tulip tree forest community,0.45,729.0,Appalachian oak-pine [white pine-oak] forest community,0.03
177,178,645,Oak-tulip tree forest community,0.38,728.0,Appalachian oak-hickory forest community,0.17,647.0,Hemlock-northern hardwood forest community,0.17
178,179,609,High salt marsh community,0.41000000000000003,721.0,Maritime bluffs community,0.22,606.0,Tidal creek community,0.2
179,180,609,High salt marsh community,0.25,721.0,Maritime bluffs community,0.24,728.0,Appalachian oak-hickory forest community,0.19
180,181,609,High salt marsh community,0.77,606.0,Tidal creek community,0.21,615.0,Salt shrub community,0.01
181,182,609,High salt marsh community,0.8200000000000001,606.0,Tidal creek community,0.18,,,0.0
182,183,609,High salt marsh community,0.91,606.0,Tidal creek community,0.09,,,0.0
183,184,728,Appalachian oak-hickory forest community,0.99,,,0.0,,,0.0
184,185,728,Appalachian oak-hickory forest community,1.01,,,0.0,,,0.0
185,186,728,Appalachian oak-hickory forest community,0.97,,,0.0,,,0.0
186,187,600,Marine deepwater community,0.38,615.0,Salt shrub community,0.19,603.0,Marine gravel/sand beach community,0.19
187,188,600,Marine deepwater community,0.6900000000000001,603.0,Marine gravel/sand beach community,0.26,632.0,Maritime beach community,0.04
188,189,600,Marine deepwater community,0.5700000000000001,603.0,Marine gravel/sand beach community,0.36,632.0,Maritime beach community,0.08
189,190,728,Appalachian oak-hickory forest community,0.91,615.0,Salt shrub community,0.09,,,0.0
190,191,728,Appalachian oak-hickory forest community,0.71,609.0,High salt marsh community,0.18,615.0,Salt shrub community,0.08
191,192,615,Salt shrub community,0.45,609.0,High salt marsh community,0.35000000000000003,728.0,Appalachian oak-hickory forest community,0.13
192,193,615,Salt shrub community,0.64,609.0,High salt marsh community,0.23,728.0,Appalachian oak-hickory forest community,0.14
193,194,600,Marine deepwater community,0.42,603.0,Marine gravel/sand beach community,0.42,632.0,Maritime beach community,0.16
194,195,600,Marine deepwater community,0.99,,,0.0,,,0.0
195,196,609,High salt marsh community,0.48,608.0,Low salt marsh community,0.32,606.0,Tidal creek community,0.21
196,197,609,High salt marsh community,0.47000000000000003,608.0,Low salt marsh community,0.34,606.0,Tidal creek community,0.17
197,198,609,High salt marsh community,0.72,606.0,Tidal creek community,0.28,,,0.0
198,199,609,High salt marsh community,0.8200000000000001,606.0,Tidal creek community,0.17,,,0.0
199,200,609,High salt marsh community,0.72,606.0,Tidal creek community,0.19,615.0,Salt shrub community,0.05
200,201,609,High salt marsh community,0.45,728.0,Appalachian oak-hickory forest community,0.18,606.0,Tidal creek community,0.15
201,202,728,Appalachian oak-hickory forest community,0.46,647.0,Hemlock-northern hardwood forest community,0.32,645.0,Oak-tulip tree forest community,0.13
202,203,728,Appalachian oak-hickory forest community,0.99,647.0,Hemlock-northern hardwood forest community,0.01,,,0.0
203,204,728,Appalachian oak-hickory forest community,0.9400000000000001,647.0,Hemlock-northern hardwood forest community,0.04,,,0.0
204,205,728,Appalachian oak-hickory forest community,0.97,721.0,Maritime bluffs community,0.03,647.0,Hemlock-northern hardwood forest community,0.02
205,206,728,Appalachian oak-hickory forest community,0.74,721.0,Maritime bluffs community,0.23,730.0,Successional fern meadow community,0.01
206,207,728,Appalachian oak-hickory forest community,0.8200000000000001,645.0,Oak-tulip tree forest community,0.11,647.0,Hemlock-northern hardwood forest community,0.09
207,208,728,Appalachian oak-hickory forest community,0.6900000000000001,645.0,Oak-tulip tree forest community,0.25,729.0,Appalachian oak-pine [white pine-oak] forest community,0.05
208,209,645,Oak-tulip tree forest community,0.62,728.0,Appalachian oak-hickory forest community,0.30000000000000004,729.0,Appalachian oak-pine [white pine-oak] forest community,0.08
209,210,645,Oak-tulip tree forest community,0.85,728.0,Appalachian oak-hickory forest community,0.11,729.0,Appalachian oak-pine [white pine-oak] forest community,0.04
210,211,600,Marine deepwater community,0.54,603.0,Marine gravel/sand beach community,0.31,728.0,Appalachian oak-hickory forest community,0.07
211,212,728,Appalachian oak-hickory forest community,0.32,603.0,Marine gravel/sand beach community,0.30000000000000004,600.0,Marine deepwater community,0.24
212,213,728,Appalachian oak-hickory forest community,0.32,600.0,Marine deepwater community,0.27,603.0,Marine gravel/sand beach community,0.22
213,214,600,Marine deepwater community,0.88,603.0,Marine gravel/sand beach community,0.11,,,0.0
214,215,600,Marine deepwater community,0.84,603.0,Marine gravel/sand beach community,0.17,,,0.0
215,216,600,Marine deepwater community,0.88,603.0,Marine gravel/sand beach community,0.09,615.0,Salt shrub community,0.01
216,217,600,Marine deepwater community,0.8200000000000001,603.0,Marine gravel/sand beach community,0.17,,,0.0
217,218,728,Appalachian oak-hickory forest community,0.34,609.0,High salt marsh community,0.33,615.0,Salt shrub community,0.27
218,219,615,Salt shrub community,0.32,728.0,Appalachian oak-hickory forest community,0.27,632.0,Maritime beach community,0.15
219,220,728,Appalachian oak-hickory forest community,0.9500000000000001,615.0,Salt shrub community,0.03,603.0,Marine gravel/sand beach community,0.02
220,221,600,Marine deepwater community,0.21,728.0,Appalachian oak-hickory forest community,0.19,603.0,Marine gravel/sand beach community,0.15
221,222,728,Appalachian oak-hickory forest community,0.9400000000000001,615.0,Salt shrub community,0.02,721.0,Maritime bluffs community,0.02
222,223,728,Appalachian oak-hickory forest community,0.99,,,0.0,,,0.0
223,224,728,Appalachian oak-hickory forest community,0.9500000000000001,645.0,Oak-tulip tree forest community,0.03,615.0,Salt shrub community,0.02
224,225,728,Appalachian oak-hickory forest community,0.76,603.0,Marine gravel/sand beach community,0.13,600.0,Marine deepwater community,0.04
225,226,728,Appalachian oak-hickory forest community,0.99,,,0.0,,,0.0
226,227,728,Appalachian oak-hickory forest community,0.9,721.0,Maritime bluffs community,0.09,645.0,Oak-tulip tree forest community,0.02
227,228,645,Oak-tulip tree forest community,0.4,600.0,Marine deepwater community,0.23,602.0,Marine intertidal mudflat community,0.1
228,229,728,Appalachian oak-hickory forest community,0.75,645.0,Oak-tulip tree forest community,0.15,647.0,Hemlock-northern hardwood forest community,0.11
229,230,728,Appalachian oak-hickory forest community,0.99,,,0.0,,,0.0
230,231,728,Appalachian oak-hickory forest community,1.0,,,0.0,,,0.0
231,232,728,Appalachian oak-hickory forest community,0.6900000000000001,721.0,Maritime bluffs community,0.14,609.0,High salt marsh community,0.08
232,233,728,Appalachian oak-hickory forest community,0.97,647.0,Hemlock-northern hardwood forest community,0.02,721.0,Maritime bluffs community,0.01
233,234,728,Appalachian oak-hickory forest community,0.87,647.0,Hemlock-northern hardwood forest community,0.09,615.0,Salt shrub community,0.01
234,235,728,Appalachian oak-hickory forest community,1.01,,,0.0,,,0.0
235,236,728,Appalachian oak-hickory forest community,1.01,,,0.0,,,0.0
236,237,728,Appalachian oak-hickory forest community,1.0,,,0.0,,,0.0
237,238,728,Appalachian oak-hickory forest community,0.99,,,0.0,,,0.0
238,239,728,Appalachian oak-hickory forest community,0.9400000000000001,645.0,Oak-tulip tree forest community,0.06,647.0,Hemlock-northern hardwood forest community,0.02
239,240,645,Oak-tulip tree forest community,0.71,647.0,Hemlock-northern hardwood forest community,0.1,622.0,Eutrophic pond community,0.08
240,241,728,Appalachian oak-hickory forest community,0.91,645.0,Oak-tulip tree forest community,0.07,721.0,Maritime bluffs community,0.01
241,242,728,Appalachian oak-hickory forest community,1.0,,,0.0,,,0.0
242,243,728,Appalachian oak-hickory forest community,0.9400000000000001,645.0,Oak-tulip tree forest community,0.07,,,0.0
243,244,728,Appalachian oak-hickory forest community,0.97,,,0.0,,,0.0
244,245,728,Appalachian oak-hickory forest community,0.86,645.0,Oak-tulip tree forest community,0.1,,,0.0
245,246,728,Appalachian oak-hickory forest community,1.01,,,0.0,,,0.0
246,247,728,Appalachian oak-hickory forest community,0.98,,,0.0,,,0.0
247,248,728,Appalachian oak-hickory forest community,1.01,,,0.0,,,0.0
248,249,728,Appalachian oak-hickory forest community,0.9400000000000001,645.0,Oak-tulip tree forest community,0.07,,,0.0
249,250,728,Appalachian oak-hickory forest community,0.65,645.0,Oak-tulip tree forest community,0.35000000000000003,,,0.0
250,251,728,Appalachian oak-hickory forest community,0.9400000000000001,645.0,Oak-tulip tree forest community,0.06,,,0.0
251,252,728,Appalachian oak-hickory forest community,0.9400000000000001,645.0,Oak-tulip tree forest community,0.07,,,0.0
252,253,645,Oak-tulip tree forest community,0.73,728.0,Appalachian oak-hickory forest community,0.28,,,0.0
253,254,645,Oak-tulip tree forest community,0.93,728.0,Appalachian oak-hickory forest community,0.08,,,0.0
254,255,645,Oak-tulip tree forest community,0.86,729.0,Appalachian oak-pine [white pine-oak] forest community,0.14,,,0.0
255,256,645,Oak-tulip tree forest community,0.99,728.0,Appalachian oak-hickory forest community,0.01,,,0.0
256,257,645,Oak-tulip tree forest community,0.99,728.0,Appalachian oak-hickory forest community,0.01,,,0.0
257,258,645,Oak-tulip tree forest community,1.0,,,0.0,,,0.0
258,259,645,Oak-tulip tree forest community,0.72,728.0,Appalachian oak-hickory forest community,0.29,,,0.0
259,260,728,Appalachian oak-hickory forest community,0.99,,,0.0,,,0.0
260,261,645,Oak-tulip tree forest community,0.53,728.0,Appalachian oak-hickory forest community,0.43,647.0,Hemlock-northern hardwood forest community,0.03
261,262,728,Appalachian oak-hickory forest community,0.62,645.0,Oak-tulip tree forest community,0.39,,,0.0
262,263,728,Appalachian oak-hickory forest community,0.26,600.0,Marine deepwater community,0.26,603.0,Marine gravel/sand beach community,0.26
